"Config_File",Stanza,Setting,"Current_Value","Proposed_Value","Stanza_Description","Setting_Description"
limits,realtime,"alerting_period_ms",0,,,
limits,realtime,blocking,FALSE,,,
limits,realtime,"default_backfill",TRUE,,,
limits,realtime,"enforce_time_order",TRUE,,,
limits,realtime,"indexed_realtime_cluster_update_interval",30,,,
limits,realtime,"indexed_realtime_default_span",1,,,
limits,realtime,"indexed_realtime_disk_sync_delay",60,,,
limits,realtime,"indexed_realtime_maximum_span",0,,,
limits,realtime,"indexed_realtime_update_interval",30,,,
limits,realtime,"indexed_realtime_use_by_default",FALSE,,,
limits,realtime,indexfilter,TRUE,,,
limits,realtime,"max_blocking_secs",60,,,
limits,realtime,"queue_size",10000,,,
limits,restapi,jobscontentmaxcount,0,,,
limits,restapi,maxresultrows,50000,,,
limits,restapi,"time_format_reject","[<>!]",,,
limits,reversedns,rdnsMaxDutyCycle,10,,,
limits,rex,"depth_limit",1000,,,
limits,rex,"match_limit",100000,,,
limits,rollup,minSpanAllowed,300,,,
limits,sample,maxsamples,10000,,,
limits,sample,maxtotalsamples,100000,,,
limits,"scheduled_views","enable_reaper",TRUE,,,
limits,"scheduled_views","reaper_freq",86400,,,
limits,scheduler,"action_execution_threads",2,,,
limits,scheduler,"actions_queue_size",100,,,
limits,scheduler,"actions_queue_timeout",30,,,
limits,scheduler,"alerts_expire_period",120,,,
limits,scheduler,"alerts_max_count",50000,,,
limits,scheduler,"alerts_max_history",7d,,,
limits,scheduler,"auto_summary_perc",50,25,,
limits,scheduler,"concurrency_message_throttle_time",10m,,,
limits,scheduler,"dispatch_retry_delay",FALSE,,,
limits,scheduler,"introspection_lookback",1h,,,
limits,scheduler,"max_action_results",50000,,,
limits,scheduler,"max_continuous_scheduled_search_lookback",24h,,,
limits,scheduler,"max_lock_file_ttl",86400,,,
limits,scheduler,"max_lock_files",5,,,
limits,scheduler,"max_per_result_alerts",500,,,
limits,scheduler,"max_searches_perc",50,50,,
limits,scheduler,"persistance_period",30,,,DEPRECATED
limits,scheduler,"priority_runtime_factor",10,,,
limits,scheduler,"priority_skipped_factor",TRUE,,,
limits,scheduler,"saved_searches_disabled",FALSE,,,
limits,scheduler,"scheduled_view_timeout",60m,,,
limits,scheduler,"search_history_load_timeout",2m,,,
limits,scheduler,"search_history_max_runtimes",10,,,
limits,scheduler,"shc_local_quota_check",TRUE,,,DEPRECATED
limits,scheduler,"shc_role_quota_enforcement",FALSE,,,
limits,scheduler,"shc_syswide_quota_enforcement",FALSE,,,
limits,scheduler,"shp_dispatch_to_slave",TRUE,,,
